Date,Client,Poids reçu
23/11/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,253 942
23/11/2025,PETRO IVOIRE,1 239 740
22/11/2025,PETRO IVOIRE,1 247 901
22/11/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,255 614
21/11/2025,PETRO IVOIRE,832 146
21/11/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,170 456
21/11/2025,VIVO ENERGY CÔTE D'IVOIRE,500 000
20/11/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,79 620
20/11/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,256 743
20/11/2025,PETRO IVOIRE,388 654
20/11/2025,PETRO IVOIRE,1 253 431
19/11/2025,VIVO ENERGY CÔTE D'IVOIRE,500 000
19/11/2025,PETRO IVOIRE,1 013 708
16/11/2025,PETRO IVOIRE,2 912 580
16/11/2025,VIVO ENERGY CÔTE D'IVOIRE,500 000
16/11/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,596 552
11/11/2025,PETRO IVOIRE,105
11/11/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,249 040
11/11/2025,PETRO IVOIRE,1 198 441
11/11/2025,PETRO IVOIRE,996 159
11/11/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,299 610
11/11/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,26
09/11/2025,PETRO IVOIRE,803 379
09/11/2025,VIVO ENERGY CÔTE D'IVOIRE,500 000
09/11/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,200 845
07/11/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,280 340
07/11/2025,PETRO IVOIRE,1 121 362
06/11/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,299 721
06/11/2025,PETRO IVOIRE,1 198 818
06/11/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,297 058
06/11/2025,PETRO IVOIRE,1 188 172
05/11/2025,VIVO ENERGY CÔTE D'IVOIRE,500 000
05/11/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,198 896
05/11/2025,PETRO IVOIRE,795 524
04/11/2025,VIVO ENERGY CÔTE D'IVOIRE,500 000
04/11/2025,PETRO IVOIRE,807 184
04/11/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,201 813
01/11/2025,PETRO IVOIRE,2 081 052
01/11/2025,VIVO ENERGY CÔTE D'IVOIRE,500 000
01/11/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,505 279
31/10/2025,PETRO IVOIRE,732 067
31/10/2025,VIVO ENERGY CÔTE D'IVOIRE,280 000
31/10/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,488 044
29/10/2025,PETRO IVOIRE,832 253
29/10/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,170 485
25/10/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,321 989
25/10/2025,PETRO IVOIRE,1 181 750
25/10/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,238 225
25/10/2025,PETRO IVOIRE,772 789
23/10/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,194 109
23/10/2025,PETRO IVOIRE,557 415
23/10/2025,VIVO ENERGY CÔTE D'IVOIRE,720 000
21/10/2025,PETRO IVOIRE,1 202 151
21/10/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,300 553
21/10/2025,PETRO IVOIRE,285 200
21/10/2025,VIVO ENERGY CÔTE D'IVOIRE,500 000
21/10/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,71 318
19/10/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,298 167
19/10/2025,PETRO IVOIRE,1 195 197
19/10/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,298 814
19/10/2025,PETRO IVOIRE,1 192 619
16/10/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,220 011
16/10/2025,VIVO ENERGY CÔTE D'IVOIRE,200 000
16/10/2025,PETRO IVOIRE,1 074 091
15/10/2025,PETRO IVOIRE,1 235 638
15/10/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,253 098
14/10/2025,PETRO IVOIRE,1 236 960
14/10/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,253 370
11/10/2025,VIVO ENERGY CÔTE D'IVOIRE,300 000
11/10/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,239 322
11/10/2025,PETRO IVOIRE,956 613
09/10/2025,PETRO IVOIRE,1 602 389
09/10/2025,VIVO ENERGY CÔTE D'IVOIRE,1 000 000
09/10/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,400 936
08/10/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,718 168
08/10/2025,VIVO ENERGY CÔTE D'IVOIRE,200 000
08/10/2025,PETRO IVOIRE,1 567 866
06/10/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,171 379
06/10/2025,VIVO ENERGY CÔTE D'IVOIRE,500 000
06/10/2025,PETRO IVOIRE,829 943
03/10/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,247 811
03/10/2025,PETRO IVOIRE,1 200 475
29/09/2025,PETRO IVOIRE,2 473 863
29/09/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,510 660
28/09/2025,VIVO ENERGY CÔTE D'IVOIRE,200 000
28/09/2025,PETRO IVOIRE,1 072 390
28/09/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,221 390
25/09/2025,PETRO IVOIRE,825 586
25/09/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,170 480
24/09/2025,PETRO IVOIRE,813 594
24/09/2025,PETRO IVOIRE,830 055
24/09/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,171 401
24/09/2025,VIVO ENERGY CÔTE D'IVOIRE,500 000
24/09/2025,VIVO ENERGY CÔTE D'IVOIRE,500 000
24/09/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,168 005
19/09/2025,PETRO IVOIRE,830 207
19/09/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,170 042
18/09/2025,VIVO ENERGY CÔTE D'IVOIRE,300 000
18/09/2025,VIVO ENERGY CÔTE D'IVOIRE,200 000
18/09/2025,TOTALENERGIES MARKETING COTE D'IVOIRE,259 298
18/09/2025,PETRO IVOIRE,1 037 194
18/09/2025,PETRO IVOIRE,1 004 548
